service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,service_name,case_record_type,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description,iamfloc,floc
2837781,,,2020-01-01T03:19:00,20,72 Hour Violation,Parking,2020-01-21T00:00:00,Closed,32.74702,-117.08688,"3785 50th St, San Diego, CA 92105, USA",92105,9,56,Mid-City:City Heights,,Web,,Car has been parked in front of my house for over a month and usps is not delivering mail because it is blocking mailbox.,SS-001193,SS-001193
2837782,,,2020-01-01T03:36:00,1,Citizen Contact,Parking,2020-01-02T00:00:00,Closed,32.6881147,-117.1117528,3839 Acacia St,92113,8,37,Southeastern San Diego,,Mobile,,A very loud party still going on at 3:30am!!! Reporting this even though the SD Police gave not demonstrated any immediate help with this type of problem.,SS-001640,SS-001640
2837783,,40300225108,2020-01-01T04:39:00,15,Traffic Signal Head Turned,TSW,2020-01-16T00:00:00,Closed,32.71258174,-117.1610299,,,3,4,Downtown,,Mobile,,Traffic signal hit and visor hanging,SG-201800,SX-014087-001
2837784,,40300225173,2020-01-01T06:28:00,27,Paint Curb - Maintain,TSW,2020-01-28T00:00:00,Closed,32.75722588,-117.1301343,,,3,28,North Park,,Mobile,,Paint in front of the fire hydrant has faded and worn away,SS-000690,SS-000690
2837785,,,2020-01-01T06:33:00,1,Parking Zone Violation,Parking,2020-01-02T00:00:00,Closed,32.75722369,-117.1274309,3111 Meade Ave,92104,3,28,North Park,,Mobile,,Vehicle is parked on sidewalk blocking sidewalk access to pedestrians and wheelchairs,SS-017909,SS-017909
2837786,,40300225174,2020-01-01T06:34:00,340,Free Tree Planting Request,TSW,,In Process,32.75713241,-117.127344,,,3,28,North Park,,Mobile,,Three missing trees,TR-RW,SS-017909
2837787,,40300225168,2020-01-01T06:35:00,187,Street Light on During Day,TSW,2020-07-06T00:00:00,Closed,32.71164305,-117.1205393,,,8,37,Southeastern San Diego,,Mobile,,Traffic light out on Market and 32nd.,PL-317924,SS-017616-007
2837788,2837502,,2020-01-01T06:36:00,27,Paint Curb - Maintain,TSW,2020-01-28T00:00:00,Closed,32.75741496,-117.1266141,,,3,28,North Park,,Mobile,,Paint in front of fire hydrant has worn and faded away,SS-017909,SS-017909
2837789,2837502,,2020-01-01T06:38:00,27,Paint Curb - Maintain,TSW,2020-01-28T00:00:00,Closed,32.75746398,-117.1272315,,,3,28,North Park,,Mobile,,"Paint on curb next to alley has faded and worn away, people are parking here blocking few coming out of alley making it a dangerous situation.",SS-017909,SS-017909
2837790,2837502,,2020-01-01T06:40:00,27,Paint Curb - Maintain,TSW,2020-01-28T00:00:00,Closed,32.75740087,-117.1276107,,,3,28,North Park,,Mobile,,Paint on the corner of Meade Avenue and Illinois Street is all faded away at all four corners.,SS-017909,SS-017909
2837791,,,2020-01-01T06:43:00,65,Graffiti Removal,TSW,2020-03-06T00:00:00,Closed,32.71815972,-117.1549038,,,3,4,Downtown,,Mobile,,,SS-000331,SS-000331
2837792,,,2020-01-01T06:45:00,2,Illegal Dumping,ESD Complaint/Report,2020-01-03T00:00:00,Closed,32.73689667,-117.086875,"5055 Quince St, San Diego, CA 92105",92105,4,57,Mid-City:Eastern Area,,Mobile,,Large screen TV about 10+ Feet to the right of the yellow sign and white fence. 5-10 feet down the embankment along Chollas Creek. It is in the bushes.,,
2837793,,40300225190,2020-01-01T06:45:00,56,Paint Curb - Maintain,TSW,2020-02-26T00:00:00,Closed,32.7585409,-117.1287263,,,3,28,North Park,,Mobile,,Paint in front of fire hydrant has faded and worn away,SS-020379,SS-020379
2837794,,,2020-01-01T06:50:00,36,Commercial Dumpster Condition,ESD Complaint/Report,2020-02-06T00:00:00,Closed,32.71633088,-117.1593597,525 C St,92101,3,4,Downtown,,Mobile,,Business trashcans regularly are left from the night before to late the next morning creating an issue with trash all over the area in some occasions creating a trip hazard due to the high amount of bags or trash also left on the sidewalk or taken out of the cans by transients. The cans belong to  building 1041 suite #201Can number is T92-199864,SS-000222,SS-000222
2837795,,40300225169,2020-01-01T06:54:00,65,Paint Curb - Maintain,TSW,2020-03-06T00:00:00,Closed,32.76096823,-117.1312291,,,3,28,North Park,,Mobile,,Paint in front of fire hydrant has worn and faded away.,SS-017150,SS-017150
2837796,,,2020-01-01T06:56:00,1,Parking Zone Violation,Parking,2020-01-02T00:00:00,Closed,32.76001451,-117.1316496,4542 Kansas St,92116,3,28,North Park,,Mobile,,Vehicle is parked on sidewalk blocking sidewalk access to pedestrians and wheelchairs,SS-014909,SS-014909
2837797,,,2020-01-01T07:23:00,5,Illegal Dumping,ESD Complaint/Report,2020-01-06T00:00:00,Closed,32.71056047,-117.1601874,"500 5th Ave, San Diego, CA 92101",92101,3,4,Downtown,,Mobile,,"Illegal dumping from Gaslamp pizza on 5 th and Island northwest corner, businesses address 505 5 th Ave , business dumped bags across the street near 500 5 th Ave",,
2837798,,,2020-01-01T07:36:00,1,Graffiti Removal,TSW,2020-01-02T00:00:00,Referred,32.73364327,-117.1603101,,,3,42,Uptown,,Mobile,This report has been referred to Graffiti ? US Postal Services at sandiego.capa@usps.gov,Mail box has graffiti.,SS-000163,SS-000163
2837800,,,2020-01-01T07:44:00,1,Graffiti Removal,TSW,2020-01-02T00:00:00,Referred,32.76308833,-117.2497467,,,2,18,Mission Beach,,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,,SS-004886,SS-004886
2837801,,,2020-01-01T07:45:00,1,Graffiti Removal - Code Enforcement,TSW,2020-01-02T00:00:00,Referred,32.76358833,-117.249895,,,2,17,Mission Bay Park,,Mobile,This report has been referred to Graffiti ? SDGE Poles and Boxes at aesgraffitihotline4sdge@yahoo.com,,SS-006218,SS-006218
2837802,,,2020-01-01T07:46:00,1,Graffiti Removal,TSW,2020-01-02T00:00:00,Referred,32.76306667,-117.2497167,,,2,18,Mission Beach,,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,,SS-004886,SS-004886
2837803,,,2020-01-01T07:47:00,1,Graffiti Removal,TSW,2020-01-02T00:00:00,Closed,32.762975,-117.2500217,,,2,18,Mission Beach,,Mobile,,,SS-003762,SS-003762
2837804,2837522,,2020-01-01T07:57:00,8,Pothole,TSW,2020-01-09T00:00:00,Closed,32.8269601,-117.150514,,,6,50,Kearny Mesa,,Web,,"Vickers between Mercury  and Convoy is in some locations almost not passable without risking damage to your tires and rims, the street was under construction for water line work for months and completed destroyed, but then left unaddressed, please it is ridiculous, there's perhaps 100 potholes of consequence in this one single stretch of street!",SS-027945-PV1,SS-027945-PV1
2837805,2830753,,2020-01-01T07:59:00,5,72 Hour Violation,Parking,2020-01-06T00:00:00,Closed,32.69892,-117.11618,"749 Olivewood Terrace, San Diego, Ca 92113, Usa",92113,9,37,Southeastern San Diego,,Mobile,,Honda pilot abandon,SS-011224,SS-011224
2837806,,,2020-01-01T08:00:00,6,Graffiti Removal - Code Enforcement,TSW,2020-01-07T00:00:00,Closed,32.73252033,-117.1295809,,,3,28,North Park,,Web,,"2994 Maple Court (on 30th St side of corner) - tags on utility boxes, trash can, sidewalk near southwest end of Switzer Canyon bridge;  3005 Olive (30th Street side of corner); large tag on sloped retaining wall next to 30th St sidewalk; blue garbage can on west side of 30th near 2836 30th Street",SS-000670,SS-000670
2837807,,40300225181,2020-01-01T08:02:00,7,Pothole,TSW,2020-01-08T00:00:00,Closed,32.830567,-117.2038329,,,6,6,Clairemont Mesa,,Mobile,,"Any street you drive on both residential, or arterial are covered in potholes. So much for the Mayors bold statements",SS-007250-PV1,SS-007250-PV1
2837808,,,2020-01-01T08:02:00,5,Illegal Dumping,ESD Complaint/Report,2020-01-06T00:00:00,Closed,32.80154487,-117.1134951,"3141 Murphy Cyn Rd, San Diego, CA 92123",92123,7,50,Kearny Mesa,,Mobile,,,,
2837809,2830674,,2020-01-01T08:03:00,27,72 Hour Violation,Parking,2020-01-28T00:00:00,Closed,32.69794,-117.11607,"3628 Florence St, San Diego, Ca 92113, Usa",92113,9,37,Southeastern San Diego,,Mobile,,Green olive Jeep Cherokee abandoned for over a month spare tire on the roof,SS-011224,SS-011224
2837810,,,2020-01-01T08:04:00,1,Graffiti Removal - Code Enforcement,TSW,2020-01-02T00:00:00,Referred,32.79950919,-117.1133181,,,7,50,Kearny Mesa,,Mobile,This report has been referred to Graffiti ? SDGE Poles and Boxes at aesgraffitihotline4sdge@yahoo.com,,SS-019508,SS-019508
2837811,,40300225182,2020-01-01T08:06:00,49,Evaluate for Resurfacing,TSW,2020-02-19T00:00:00,Closed,32.752905,-117.22818,,,2,30,Peninsula,,Mobile,,We ran a call here for elderly man that tripped on the very rough pavement. Please even out the pavement on this entire street. A lot of elderly live here.Thank you & Happy New Year !,SS-023712-PV1,SS-023712-PV1
2837812,2836994,,2020-01-01T08:11:00,5,72 Hour Violation,Parking,2020-01-06T00:00:00,Closed,32.69794,-117.11607,"3628 Florence St, San Diego, Ca 92113, Usa",92113,9,37,Southeastern San Diego,,Mobile,,Dark gray Honda Accord passenger side wreck abandoned for over a month,SS-011224,SS-011224
2837813,,,2020-01-01T08:12:00,1,Graffiti Removal,TSW,2020-01-02T00:00:00,Referred,32.8299133,-117.2805828,,,1,10,La Jolla,WINDANSEA NP,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,,SS-019762,SS-019762
2837814,,,2020-01-01T08:18:00,0,Traffic Signal Head Turned,TSW,2020-01-01T00:00:00,Closed,32.75678667,-117.1949167,,,3,24,Old Town San Diego,PRESIDIO PARK,Mobile,,Signal is falling,,
2837815,,40300225145,2020-01-01T08:18:00,1,Guardrails/Barrier Metal/Wooden,TSW,2020-01-02T00:00:00,Closed,32.75689667,-117.1949467,,,3,24,Old Town San Diego,PRESIDIO PARK,Mobile,,Guard rail in Presidio Park is broken,SS-014442,SS-014442
2837816,,,2020-01-01T08:38:00,7,72 Hour Violation,Parking,2020-01-08T00:00:00,Closed,32.759845,-117.0829388,4554 Contour Blvd,92115,9,58,Mid-City:Kensington-Talmadge,,Mobile,,72 hour violation.  Car has not moved in a week,SS-007847,SS-007847
2837817,,,2020-01-01T08:40:00,14,72 Hour Violation,Parking,2020-01-15T00:00:00,Closed,32.74843333,-117.2262117,2690 Worden St,92110,2,30,Peninsula,,Mobile,,,SS-022091,SS-022091
2837818,2829191,,2020-01-01T08:42:00,29,Pothole,TSW,2020-01-30T00:00:00,Closed,33.0000646,-117.0670243,,,5,31,Rancho Bernardo,,Mobile,,These potholes continue to appear every few weeks.,SS-008404-PV1,SS-008404-PV1
2837819,,,2020-01-01T08:45:00,0,Other,TSW,2020-01-01T00:00:00,Referred,32.77864364,-117.2524332,,,2,18,Mission Beach,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,Scooter blocking the sidewalk.,SS-018876,SS-018876
2837820,,,2020-01-01T08:47:00,0,Other,TSW,2020-01-01T00:00:00,Referred,32.77785705,-117.2524429,,,2,18,Mission Beach,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,Scooter blocking the sidewalk.,SS-017335,SS-017335
2837821,,,2020-01-01T08:47:00,7,Graffiti Removal,TSW,2020-01-08T00:00:00,Closed,32.748198,-117.139865,,,3,28,North Park,,Web,,,SS-016931,SS-016931
2837822,,,2020-01-01T08:51:00,9,72 Hour Violation,Parking,2020-01-10T00:00:00,Closed,32.8767,-117.20758,"4639 Executive Dr, San Diego, CA 92121, USA",92121,1,99,University,,Web,,This vehicle has not moved in over two weeks. It's been here so long the brake rotors are totally rusted. Please tow this vehicle off the street.,SS-010708,SS-010708
2837823,2837821,,2020-01-01T08:53:00,7,Graffiti Removal,TSW,2020-01-08T00:00:00,Closed,32.748198,-117.139865,,,3,28,North Park,,Web,,"2305 University Avenue has been the long established favorite site for tagging and new tags show up about every three weeks These are only afew of the tags along the west wall of the parking lot.  I WOULD LIKE TO NOW IF ANY OF THESE TAGS ARE GANG RELATED!!  Iam not ""shouting"" but I am empahasiisng that I have repeatedly requsted this inforamtion!!                  Also, I think you should add a third item to the drop-down list of ""unknown"" as if it is gang elated, it isvery objectionable.",SS-016931,SS-016931
2837824,2665304,,2020-01-01T08:53:00,340,Vegetation Encroachment,TSW ROW,,In Process,32.72914764,-117.0878533,5025 Pirotte Dr,92105,4,57,Mid-City:Eastern Area,,Mobile,,Overgrown tree well into street. Consistently has giant branches that are hit by garbage and trucks. Debris everywhere. Blocking access for fire trucks that need water. A fire danger itself as it is huge and is touching the house next to it. Working class neighborhood put in danger because of it. Please help.,,
2837825,,,2020-01-01T08:54:00,340,Encampment,Neighborhood Policing,,In Process,32.73370199,-117.2195515,2883 Farragut Rd,92106,2,30,Peninsula,,Mobile,,"Van parked overnight, someone living in it on our residential street several times",SS-031492,SS-031492
2837826,2822987,,2020-01-01T08:56:00,9,72 Hour Violation,Parking,2020-01-10T00:00:00,Closed,32.89371,-117.19679,"4581 Executive Dr, San Diego, CA 92121, USA",92121,6,15,Mira Mesa,,Web,,This vehicle has not moved in over one week. You gave this vehicle a warning about one month ago. Please tow it off the street.,SS-010708,SS-010708
2837827,2798788,,2020-01-01T08:57:00,14,Graffiti Removal,TSW,2020-01-15T00:00:00,Closed,32.75569,-117.13821,,,3,28,North Park,,Web,,2426 El Cajon Blvd. east end of quansut hut of the facility with very heavy tagging on this auto repair facility.  More phtos are available.  Site has been eported proviously and not correctie action has been taken.  Alley to the north was prviously used a s a headquarters of a drug gang that used bicycles for delieveries.  THis is related to activity at 4325 Texas Street and 43 34 Arizona Street.,,
2837828,,,2020-01-01T08:57:00,9,Graffiti Removal,TSW,2020-01-10T00:00:00,Closed,32.74847206,-117.2267962,,,2,30,Peninsula,,Mobile,,,SS-022091,SS-022091
2837829,,40300225191,2020-01-01T09:00:00,61,Pavement Repair Issue,TSW,2020-03-02T00:00:00,Closed,32.56063374,-116.9796776,,,8,26,Otay Mesa,,Web,,"Northbound Britannia Blvd at the intersection of Airway Road, there are massive potholes. They are so abundant, the traffic has to swerve into the path of the median strip to try to avoid them. I have been reporting this intersection for years and you never fix the asphalt correctly.",SS-001913-PV1,SS-001913-PV1
2837830,2837829,,2020-01-01T09:01:00,61,Pothole,TSW,2020-03-02T00:00:00,Closed,32.56062017,-116.979817,,,8,26,Otay Mesa,,Web,,"Southbound Britannia Blvd at the intersection of Airway Road, there are massive potholes. They are so abundant, the traffic has to swerve into the path of the median strip to try to avoid them. I have been reporting this intersection for years and you never fix the asphalt correctly.",SS-004907-PV1,SS-004907-PV1
2837831,2798757,,2020-01-01T09:02:00,64,Graffiti Removal,TSW,2020-03-05T00:00:00,Closed,32.7559821,-117.1384012,,,3,28,North Park,,Web,,4325 Texas Street board fence along alley white tags on multiple fence panels.  Graffiti is alos at rear of building in the alley.  This is related to 2326 El Cajon Blvd and the 4334 Arizona complaints about tagging and junk in the alley.  It has been a very bad problem for over eight years with multiple reports filled.,,
2837832,,,2020-01-01T09:06:00,27,72 Hour Violation,Parking,2020-01-28T00:00:00,Closed,32.57948,-117.07841,"2592 Chadwell Ave, San Diego, CA 92154, USA",92154,8,25,Otay Mesa-Nestor,,Web,,Car has been parked for months without moving outside of my house.,SS-006861,SS-006861
2837833,,40300225318,2020-01-01T09:08:00,9,Other Right-of-Way Maintenance,TSW,2020-01-10T00:00:00,Closed,32.54476929,-117.0720825,"2764 Monument Rd, San Diego, Ca 92154, Usa",92154,8,39,Tijuana River Valley,,Mobile,,Mud slide over the road. Please clear up.,SS-018944,SS-018944
2837835,2835206,,2020-01-01T09:12:00,14,Pothole,TSW,2020-01-15T00:00:00,Closed,32.75002504,-117.1588577,,,3,42,Uptown,,Mobile,,10 large potholes again,SS-028296-PV1,SS-028296-PV1
2837837,,40300225183,2020-01-01T09:23:00,1,Pothole,TSW,2020-01-02T00:00:00,Closed,33.0004764,-117.0667164,,,5,31,Rancho Bernardo,,Mobile,,,SS-021430-PV1,SS-021430-PV1
2837838,,,2020-01-01T09:26:00,0,Parking Zone Violation,Parking,2020-01-01T00:00:00,Closed,32.78466626,-117.2521215,829 San Jose Pl,92109,2,18,Mission Beach,,Mobile,,Electric scooters (Lime & Lyft) and a bike(Wheels) are illegally parked in red zone and are blocking traffic.,SS-003731,SS-003731
2837839,2622086,,2020-01-01T09:39:00,104,72 Hour Violation,Parking,2020-04-14T00:00:00,Closed,32.76078333,-117.0714805,4589 Alice St,92115,9,38,College Area,,Mobile,,"Abandoned vehicle here for 3 weeks now, unmoved.",SS-017126,SS-017126
2837841,,,2020-01-01T09:52:00,1,Graffiti Removal,TSW,2020-01-02T00:00:00,Closed,32.72234922,-117.1612045,,,3,4,Downtown,,Web,,At approximately 2310 (23:10 PM) while performing a perimeter patrol of Bldg. 350. I approached the alleyway gate on the eastside of bldg. 350 where I noticed that there was graffiti on the City of San Diego Retaining Wall below the sidewalk across from bldg. 350 Eastside alleyway gate. Also there was graffiti at two other locations. Both locations were on the guardrail on top of the Retaining Wall. After completing my perimeter rounds of Bldg. 350 I found no other signs of new graffiti. Location #1:  Graffiti is done in ?Black? spray paint and is approximately 2 feet in height and 7 Ã‚Â½ feet in width. The graffiti reads ?WIDER?.Location #2: (Guardrail post right above location #1). Graffiti is done in ?Black? spray paint and is 6 inches in height and 2 inches in width. The graffiti reads ?ROLDK?.Location #3: (Three guardrail posts south of location #1). Graffiti is done in ?Black? spray paint and is 7 inches in height and 2 inches in width. The graffiti reads ?ROLDK?.,SS-000144,SS-000144
2837842,,,2020-01-01T09:56:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,5704 Streamview,,,,,,FO Self Generate,,"chair, armor",,
2837843,,,2020-01-01T09:57:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3751 Chamoune,,,,,,FO Self Generate,,BS,,
2837844,,,2020-01-01T09:58:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3835 45th,,,,,,FO Self Generate,,dresser,,
2837846,,,2020-01-01T10:00:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,4041 44th,,,,,,FO Self Generate,,plastic container,,
2837847,,,2020-01-01T10:01:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,4268 Wightman,,,,,,FO Self Generate,,dresser,,
2837849,,,2020-01-01T10:03:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3542 43rd,,,,,,FO Self Generate,,"headboard, chair",,
2837850,,40300225154,2020-01-01T10:03:00,7,Tree Infestation - Bees/Pests,TSW,2020-01-08T00:00:00,Closed,32.753884,-117.170022,,,3,42,Uptown,,Web,,"Pretty certain the canary date palm  is infected with the beetle ?- is on city property.at the end of west arbor off falcon , facing the canyon",TR,SS-029726
2837851,,,2020-01-01T10:04:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3535 Marlborough Ave,,,,,,FO Self Generate,,sofa,,
2837852,,,2020-01-01T10:06:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3749 Van Dyke,,,,,,FO Self Generate,,"2 dressers, 2 chairs",,
2837853,,,2020-01-01T10:06:00,3,Encampment,Neighborhood Policing,2020-01-04T00:00:00,Closed,32.750888,-117.174432,"1215 Fort Stockton Dr, San Diego, Ca 92103, Usa",92103,3,42,Uptown,,Mobile,,at united medthist church ft stockton dr side second stairs into the church.. i am un sure where church office is at,SS-011355,SS-011355
2837854,,,2020-01-01T10:06:00,13,Encampment,ESD Complaint/Report,2020-01-14T00:00:00,Closed,32.741128,-117.179244,"3617 India St, San Diego, CA 92103",92103,3,42,Uptown,,Mobile,,Homeless have been adding more and more to the public sidewalk,SS-014099,SS-014099
2837855,,,2020-01-01T10:07:00,340,Graffiti Removal,TSW,,In Process,32.74861191,-117.1545868,,,3,42,Uptown,,Mobile,,,SS-027135,SS-027135
2837856,,,2020-01-01T10:07:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3745 Van Dyke,,,,,,FO Self Generate,,chair,,
2837858,,,2020-01-01T10:08:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3561 Central Ave,,,,,,FO Self Generate,,vacuum,,
2837859,,,2020-01-01T10:09:00,5,Illegal Dumping,ESD Complaint/Report,2020-01-06T00:00:00,Closed,32.79517559,-117.2025486,"4261 Cessna St, San Diego, CA 92117",92117,2,6,Clairemont Mesa,,Mobile,,Illegal dumping of storage cabinet on side of road. Been there for 3 weeks,,
2837860,,,2020-01-01T10:10:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3571 Central Ave,,,,,,FO Self Generate,,table,,
2837861,,40300225200,2020-01-01T10:11:00,6,Pothole,TSW,2020-01-07T00:00:00,Closed,32.8683835,-117.2233209,,,1,99,University,,Web,,"When you turn right, onto Nobel Dr, [from Regents Rd., heading East], the BIG Pot Hole is right there; in the left lane, of Nobel Dr.!",SS-019965-PV1,SS-019965-PV1
2837862,,,2020-01-01T10:12:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,6300 Scimitar Dr,,,,,,FO Self Generate,,"mattress, BS, crib",,
2837863,,,2020-01-01T10:12:00,9,Graffiti Removal,TSW,2020-01-10T00:00:00,Closed,32.74998352,-117.1581154,,,3,42,Uptown,,Mobile,,,SS-028295,SS-028295
2837864,,,2020-01-01T10:13:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,6000 Radio Dr,,,,,,FO Self Generate,,NP,,
2837865,,,2020-01-01T10:18:00,1,Parking Zone Violation,Parking,2020-01-02T00:00:00,Closed,32.90455,-117.14884,"10239 Baroness Ave, San Diego, Ca 92126, Usa",92126,6,15,Mira Mesa,,Mobile,,,SS-026541,SS-026541
2837866,,,2020-01-01T10:19:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.705036,-117.1293707,"3055 Commercial St, San Diego, CA 92113",92113,8,37,Southeastern San Diego,,FO Self Generate,,"sheet rock, clothes",,
2837867,2837428,,2020-01-01T10:21:00,13,Pothole,TSW,2020-01-14T00:00:00,Closed,32.91129128,-117.1356038,,,6,15,Mira Mesa,,Mobile,,Large pot hole,SS-028616-PV1,SS-028616-PV1
2837868,,,2020-01-01T10:21:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.70519522,-117.1282576,"3064 Commercial St, San Diego, CA 92113",92113,8,37,Southeastern San Diego,,Phone,,NP,,
2837869,,,2020-01-01T10:24:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,100 S. 31st St,,,,,,FO Self Generate,,fan,,
2837870,,,2020-01-01T10:26:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,4427 Gresham St,,,,,,FO Self Generate,,chair,,
2837871,,40300225146,2020-01-01T10:27:00,6,Pothole,TSW,2020-01-07T00:00:00,Closed,32.74944538,-117.1515482,,,3,42,Uptown,,Web,,"Numerous potholes on Cleveland, between Richmond and Vermont.",SS-007382-PV1,SS-007382-PV1
